latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
4.9669,114.8878,306.1,1.2,1.1,2015-03-26,1437,Terra,MODIS,41,6.2,293.7,6,N,0
4.637,114.4189,319.9,1,1,2015-03-27,0555,Aqua,MODIS,28,6.2,300,9.7,D,0
4.9894,114.9373,323.8,1.9,1.3,2015-03-31,0231,Terra,MODIS,43,6.2,294.8,32.1,D,0
4.9636,114.8985,325.6,2,1.4,2015-03-31,0531,Aqua,MODIS,56,6.2,296.5,37.2,D,0
4.9766,114.9138,307.9,1.1,1.1,2015-03-31,1456,Terra,MODIS,53,6.2,281.5,8.3,N,0
4.9823,114.9145,312.6,1.2,1.1,2015-03-31,1750,Aqua,MODIS,85,6.2,292.7,11.5,N,0
4.5707,114.2897,307.5,1.2,1.1,2015-03-31,1750,Aqua,MODIS,37,6.2,287.4,7.9,N,0
4.57,114.2941,309.1,1.2,1.1,2015-03-31,1750,Aqua,MODIS,55,6.2,287.3,9.7,N,0
4.5742,114.2854,317.7,1.7,1.3,2015-04-01,0314,Terra,MODIS,47,6.2,296.9,18.2,D,0
4.9831,114.9214,321.7,1.8,1.3,2015-04-01,0314,Terra,MODIS,52,6.2,294.5,22.5,D,0
4.5588,114.1626,316.9,1.6,1.3,2015-04-01,0314,Terra,MODIS,42,6.2,299,15.7,D,0
4.5744,114.2099,321.8,1.7,1.3,2015-04-01,0314,Terra,MODIS,47,6.2,298.1,24.6,D,0
4.9837,114.9054,319.7,1.8,1.3,2015-04-01,0614,Aqua,MODIS,0,6.2,294.2,18.3,D,0
4.5679,114.2877,330.3,1.6,1.2,2015-04-01,0614,Aqua,MODIS,83,6.2,294.9,39.2,D,0
4.9742,114.9226,343.4,1.8,1.3,2015-04-01,0614,Aqua,MODIS,92,6.2,294.9,90.3,D,0
4.9721,114.9068,332.2,1.8,1.3,2015-04-01,0614,Aqua,MODIS,79,6.2,295.4,49.5,D,0
4.9859,114.9209,317.1,1.8,1.3,2015-04-01,0614,Aqua,MODIS,41,6.2,294.5,13.5,D,0
4.7605,114.6511,317.8,1.6,1.2,2015-04-07,0537,Aqua,MODIS,71,6.2,297.4,18.2,D,0
4.1047,114.5346,316.2,2.1,1.4,2015-04-08,0620,Aqua,MODIS,54,6.2,291.5,23.4,D,0
4.1148,114.5139,319.5,2.1,1.4,2015-04-08,0620,Aqua,MODIS,55,6.2,293.8,31.2,D,0
4.1264,114.5144,316.7,2.8,1.6,2015-04-09,0525,Aqua,MODIS,71,6.2,289.2,40.2,D,0
4.1122,114.5173,319.6,2.8,1.6,2015-04-09,0525,Aqua,MODIS,77,6.2,293.1,52.8,D,0
4.569,114.2841,325.9,1,1,2015-04-12,0556,Aqua,MODIS,57,6.2,302,15.3,D,0
4.82,114.8895,317.3,1,1,2015-04-12,0556,Aqua,MODIS,54,6.2,300.2,6.9,D,0
4.9743,114.9376,327.4,1,1,2015-04-12,0556,Aqua,MODIS,80,6.2,300.7,13.7,D,0
4.8213,114.8985,316.4,1,1,2015-04-12,0556,Aqua,MODIS,50,6.2,299.2,6.1,D,0
4.0942,114.5399,331.6,1.2,1.1,2015-04-14,0244,Terra,MODIS,84,6.2,296.1,29.8,D,0
